"filename", "language", "Python", "YAML", "toml", "JSON", "pip requirements", "Ini", "Properties", "Markdown", "Docker", "PowerShell", "Batch", "C++", "reStructuredText", "Shell Script", "JavaScript", "Jinja", "C", "comment", "blank", "total"
"d:\final_project\.venv\Lib\site-packages\_pytest\python_api.py", "Python", 755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 200, 1021
"d:\final_project\.venv\Lib\site-packages\_pytest\python_path.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 27
"d:\final_project\.venv\Lib\site-packages\_pytest\recwarn.py", "Python", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 70, 366
"d:\final_project\.venv\Lib\site-packages\_pytest\reports.py", "Python", 497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 105, 637
"d:\final_project\.venv\Lib\site-packages\_pytest\runner.py", "Python", 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 93, 572
"d:\final_project\.venv\Lib\site-packages\_pytest\scope.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 92
"d:\final_project\.venv\Lib\site-packages\_pytest\setuponly.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 103
"d:\final_project\.venv\Lib\site-packages\_pytest\setupplan.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 40
"d:\final_project\.venv\Lib\site-packages\_pytest\skipping.py", "Python", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51, 302
"d:\final_project\.venv\Lib\site-packages\_pytest\stash.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38, 117
"d:\final_project\.venv\Lib\site-packages\_pytest\stepwise.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 126
"d:\final_project\.venv\Lib\site-packages\_pytest\terminal.py", "Python", 1340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 201, 1578
"d:\final_project\.venv\Lib\site-packages\_pytest\threadexception.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 98
"d:\final_project\.venv\Lib\site-packages\_pytest\timing.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\final_project\.venv\Lib\site-packages\_pytest\tmpdir.py", "Python", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 49, 323
"d:\final_project\.venv\Lib\site-packages\_pytest\unittest.py", "Python", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 62, 436
